Unnamed: 0,acc.date,type,reg,operator,fat,location,dmg
0,2022-01-03,British Aerospace 4121 Jetstream 41,zs-nrj,SA Airlink,0.0,near Venetia Mine Airport,sub
1,2022-01-04,British Aerospace 3101 Jetstream 31,hr-ayy,LANHSA - Línea Aérea Nacional de Honduras S.A,0.0,Roatán-Juan Manuel Gálvez International Airport (RTB),sub
2,2022-01-05,Boeing 737-4H6,ep-cap,Caspian Airlines,0.0,Isfahan-Shahid Beheshti Airport (IFN),sub
3,2022-01-08,Tupolev Tu-204-100C,ra-64032,"Cainiao, opb Aviastar-TU",0.0,Hangzhou Xiaoshan International Airport (HGH),w/o
4,2022-01-12,Beechcraft 200 Super King Air,unknown,private,0.0,"Machakilha, Toledo District, Grahem Creek area",w/o
5,2022-01-16,Airbus A320-214 (WL),ja24mc,Star Flyer,0.0,near Okayama City,non
6,2022-01-19,Cessna 208B Grand Caravan EX,yv3033,Mahan Air,0.0,"near Vakilabad, Arzuiyeh",sub
7,2022-01-22,Airbus A320-232,n760jb,JetBlue Airways,0.0,"Hayden-Yampa Valley Airport, CO (HDN)",sub
8,2022-01-27,Bombardier CL-600-2B16 Challenger 604,2-slow,Volare Aviation,0.0,Heraklion-N. Kazantzakis Airport (HER/LGIR),sub
9,2022-01-31,Bombardier CL-600-2B16 Challenger 604,n999px,Lima Delta Co Trustee,0.0,London-Stansted Airport (STN),sub
10,2022-01-31,Beechcraft B300 King Air 350,c-geas,"Air Tindi, opf Royal Canadian Air Force - RCAF",0.0,"Thunder Bay Airport, ON (YQT)",sub
11,2022-02-02,Hawker 1000,n207k,Skyview LLC,0.0,"Islip-Long Island MacArthur Airport, NY (ISP)",sub
12,2022-02-05,Cessna 208B Grand Caravan,5h-taz,Care Aviation,0.0,New Fangak Airstrip,sub
13,2022-02-07,Embraer ERJ-190-100LR,oh-lkk,Finnair,0.0,København-Kastrup Airport (CPH),sub
14,2022-02-08,Antonov An-26,sp-402,South Sudanese Air Force,0.0,Agok Airstrip,sub
15,2022-02-11,Cessna 501 Citation I/SP,lv-juo,Aviajet SA,0.0,"Morón-Ituzaingo Airport, BA",sub
16,2022-02-11,Antonov An-2R,ra-33599,Kamchatsky Krechet,2.0,"1 km SW of Koryaki, Yelizovsky district, Kamchatka",w/o
17,2022-02-14,Let L-410UVP-E3,9s-gfa,Doren Air Congo,0.0,Bukavu-Kavumu Airport (BKY),w/o
18,2022-02-15,ATR 42-500,ja04jc,Japan Air Commuter,0.0,55 km NNW of Osaka Airport,non
19,2022-02-15,Britten-Norman BN-2A-9 Islander,n821rr,Air Flamenco,0.0,Culebra Airport (CPX),sub
20,2022-02-16,Swearingen SA226-AT Merlin IV,hk-5225,Colcharter,0.0,San Andres Island-Gustavo Rojas Pinilla Airport (ADZ),sub
21,2022-02-18,Embraer EMB-500 Phenom 100E,n68nh,Eclipse Transport LLC,0.0,"Detroit-Coleman A. Young International Airport, MI (DET)",sub
22,2022-02-21,de Havilland Canada DHC-3T Texas Turbine Otter,n413jp,Bald Mountain Air Services,0.0,"Umiat Airport, AK (UMT)",sub
23,2022-02-21,Raytheon Hawker 800XP,n99ap,Roper Aviation LLC,0.0,"Aspen-Pitkin County Airport, CO (ASE/KASE)",sub
24,2022-02-23,Cessna 208B Grand Caravan,5x-asd,Air Serv Limited,0.0,Bor Airport (HSBR),sub
25,2022-02-23,Antonov An-2,unknown,Taraz Zhana Alem,0.0,10 km S of Aralsk,w/o
26,2022-02-24,Antonov An-22A,ur-09307,Antonov Airlines,0.0,Kyiv-Gostomel Airport (GML),sub
27,2022-02-24,Antonov An-26-100,ur-13395,Antonov Airlines,0.0,Kyiv-Gostomel Airport (GML),w/o
28,2022-02-24,Antonov An-74T,ur-74010,Antonov Airlines,0.0,Kyiv-Gostomel Airport (GML),w/o
29,2022-02-24,Cessna 208B Supervan 900,n10ja,GoJump Oceanside,0.0,"0,4 km NE of Oceanside Municipal Airport, CA (OCN/KOKB)",sub
30,2022-02-24,Antonov An-26,rf-36074,Russian Air Force,,"near Ostrogozhsk, Voronezh Region",w/o
31,2022-02-24,Antonov An-26,59 blue,Ukraine Air Force,5.0,ca 2 km N of Zhukivtsi,w/o
32,2022-02-26,Cessna 208B Grand Caravan,5h-mza,AB Aviation,14.0,"2,5 km NW off Mohéli-Bandar es Eslam Airport (NWA)",w/o
33,2022-02-27,Antonov An-124-100,ur-82009,Antonov Airlines,0.0,Kyiv-Gostomel Airport (GML),sub
34,2022-02-27,Antonov An-225,ur-82060,Antonov Airlines,0.0,Kyiv-Gostomel Airport (GML),w/o
35,2022-02-28,Cessna 208B Grand Caravan,n108rf,Revolution Flight,0.0,"Campbellton, TX",sub
36,2022-02-28,Embraer ERJ 170-200 LR (ERJ-175LR),n402yx,"American Eagle, opb Republic Airlines",0.0,"Washington-Ronald Reagan National Airport, DC (DCA)",min
37,2022-02-28,Cessna 208B Grand Caravan EX,pk-fsw,Spirit Avia Sentosa,0.0,Bilogai/Sugapa Airport (ZGP),sub
38,2022-03-01,Shaanxi Y-8Q,unknown,China Naval Air Force - Unit 92967,11.0,"off Sanya, Hainan Province",w/o
39,2022-03-02,Embraer EMB-500 Phenom 100,lv-gqn,Flyzar,0.0,"Angra dos Reis Airport, RJ (SDAG)",sub
40,2022-03-03,Boeing 737-8AS (WL),ei-dhh,Ryanair,0.0,Ibiza Airport (LEIB),non
41,2022-03-05,Dornier 228-101,cg756,Indian Coast Guard,0.0,Kanpur Air Force Station (VICX),sub
42,2022-03-06,Beechcraft 200 Super King Air,n8170j,HLAF AETA LLC,0.0,"Gulfport-Biloxi International Airport, MS (GPT)",sub
43,2022-03-07,Cessna 525B CitationJet CJ3,n22au,Ozark Air Services,0.0,"Baltimore-Martin State Airport, MD (MTN)",sub
44,2022-03-08,Cessna 208 Caravan I,c-gipr,Bamaji Air,0.0,"17 km NNW of Sioux Lookout Airport, ON (YXL)",w/o
45,2022-03-09,Honda HA-420 HondaJet,n903jt,Jet It LLC,0.0,"Pittsburgh-Allegheny County Airport, PA (AGC)",sub
46,2022-03-12,Beechcraft 1900D,hp-1948bt,Bocas Air,0.0,Panama City Albrook-Marcos A. Gelabert International Airport (PAC),sub
47,2022-03-17,Cessna 208B Super Cargomaster,n78sa,Martinaire,0.0,"Dallas/Fort Worth International Airport, TX (DFW/KDFW)",min
48,2022-03-17,Cessna 208B Super Cargomaster,n9469b,Martinaire,0.0,"Dallas/Fort Worth International Airport, TX (DFW/KDFW)",sub
49,2022-03-21,Boeing 737-89P (WL),b-1791,China Eastern Airlines,132.0,"20 km SW of Wuzhou, Tengxian County",w/o
50,2022-03-26,Boeing 767-346ER,ja603j,Japan Airlines (JAL),0.0,90 km E of Nagoya,non
51,2022-03-30,Cessna 208 Caravan I,d-flic,"Skydive Costa d'Argento, lsf Gladwings",1.0,Säntis Mountain,w/o
52,2022-04-01,Embraer EMB-110P2 Bandeirante,tg-tan,TAG Airlines,0.0,Belize City-Philip S.W. Goldson International Airport (BZE),sub
53,2022-04-02,Learjet 75,n877w,Georgia Crown Distributing Co.,0.0,"Morristown Municipal Airport, NJ (MMU)",sub
54,2022-04-07,Boeing 757-27A (PCF),hp-2010dae,DHL Aero Expreso,0.0,San José-Juan Santamaria International Airport (SJO),w/o
55,2022-04-08,Aero Modifications AMI DC-3-65TP,hk-5016,ALIANSA Colombia,0.0,San Felipe Airport,sub
56,2022-04-11,Beechcraft A100 King Air,c-gyqk,Thunder Airlines,0.0,"Timmins Airport, ON (YTS)",sub
57,2022-04-13,Gulfstream American G-1159 Gulfstream II B,n511pk,private,0.0,within Venezuela,w/o
58,2022-04-13,Basler BT-67 Turbo 67,pnc0257,Servicio Aéreo de Policia,0.0,Villavicencio-La Vanguardia Airport (VVC),sub
59,2022-04-13,Cessna 208B Grand Caravan,n928jp,Gem Air,1.0,"0,7 km NE of Burley Municipal Airport, ID (BYI)",w/o
60,2022-04-14,Fairchild SA227-DC Metro 23,n820dc,Denver Air Connection,0.0,"Denver International Airport, CO (DEN/KDEN)",sub
61,2022-04-17,Embraer EMB-505 Phenom 300,pp-lgd,VOAR Cooperativa,0.0,"Maraú-Barra Grande Airport, BA (SIRI)",sub
62,2022-04-17,Cessna 525B CitationJet CJ3,n225sc,GP Aviation LLC,0.0,"Caldwell Wright Airport, NJ (CDW)",sub
63,2022-04-22,Antonov An-26B-100,ur-uzb,Constanta Airlines,1.0,Mykhailivka,w/o
64,2022-04-26,Boeing 737-8AS (WL),ei-enk,Ryanair,0.0,Almería Airport (LEI),non
65,2022-04-30,Beechcraft 99A Airliner,n699cz,Freight Runners Express,0.0,"Milwaukee-General Mitchell Airport (MKE/KMKE), Milwaukee, WI",sub
66,2022-04-30,Cessna 208B Grand Caravan,f-gxmp,Centre Ecole de Parachutisme Sportif de l'Ariège,0.0,Pamiers/Les Pujols Airport,sub
67,2022-05-01,Boeing 737-8AS (WL),vt-slh,SpiceJet,0.0,E of Durgapur,unk
68,2022-05-03,Shorts 360-300,n744lg,Air Cargo Carriers,0.0,San Juan-Luis Muñoz Marín International Airport (SJU),sub
69,2022-05-06,Beechcraft 200 Super King Air,cc-cdy,Sociedad De Transporte Aéreo Movi Air SPA,0.0,Santiago-Arturo Merino Benitez Airport (SCL),sub
70,2022-05-06,Boeing 737-82R (WL),yr-bmm,Blue Air,0.0,Napoli-Capodichino Airport (NAP),sub
71,2022-05-10,Boeing 737-883 (WL),ln-rrh,SAS Scandinavian Airlines,0.0,between Stavanger and Oslo,non
72,2022-05-11,Viking Air DHC-6 Twin Otter 400,tj-tim,Caverton Helicopters (Cameroun) Ltd.,11.0,near Nanga Eboko,w/o
73,2022-05-11,Cessna 208 Caravan I,pt-oqr,"LBK Serviço Aéreo Especializado, opf Skydive4Fun",2.0,"Boituva, SP",sub
74,2022-05-12,Airbus A319-115 (WL),b-6425,Tibet Airlines,0.0,Chongqing Jiangbei International Airport (CKG/ZUCK),w/o
75,2022-05-20,Embraer EMB-110P1 Bandeirante,pt-shn,Sales Taxi Aéreo,0.0,"Eldorado do Sul, RS",sub
76,2022-05-21,Boeing 737-7H4 (WL),n256wn,Southwest Airlines,0.0,"Tacoma, Washington",non
77,2022-05-24,de Havilland Canada DHC-3T Turbine Otter,n703th,Yakutat Coastal Airlines,0.0,"near Dry Bay Airport, AK",sub
78,2022-05-25,Airbus A320-232,n483ua,United Airlines,0.0,"Springfield, MO",non
79,2022-05-27,Boeing 787-9 Dreamliner,a6-blf,Etihad Airways,0.0,between Abu Dhabi and Lahore,unk
80,2022-05-28,Beechcraft B200 King Air,zs-pte,Unknown,0.0,near Lynedoch Private Airfield,sub
81,2022-05-29,de Havilland Canada DHC-6 Twin Otter 300,9n-aet,Tara Air,22.0,Sanosware,w/o
82,2022-06-02,Cessna 525 CitationJet,n131pl,Kam Aviation LLC,0.0,"Natchitoches Regional Airport, LA",sub
83,2022-06-03,Cessna 208B Supervan 900,n7581f,GoJump Oceanside,1.0,"0,5 km E of Oceanside Municipal Airport, CA (OCN/KOKB)",sub
84,2022-06-04,Cessna 208 Caravan I,n90jf,Connecticut Parachutists,0.0,"Ellington Airport, CT (7B9)",sub
85,2022-06-07,Shorts SC.7 Skyvan 3-200,n731e,Alaskan Air Charter,0.0,"Chisana Field, AK (CZN)",sub
86,2022-06-07,Bombardier BD-100-1A10 Challenger 300,n694pd,Pacific Dental Services,0.0,"Hawthorne Airport, CA (HHR)",min
87,2022-06-10,Airbus A319,unknown,Unknown,0.0,near Düsseldorf,non
88,2022-06-13,Cessna 550 Citation II,n550gx,Northern Meridian LLC,0.0,"Fargo-Hector International Airport, ND (FAR)",sub
89,2022-06-15,Beechcraft B200 Super King Air,oo-let,ASL - Air Service Liege,0.0,Liège Airport (LGG),sub
90,2022-06-16,Boeing 737-3M8 (QC),9s-abj,Gomair,0.0,Kananga Airport (KGA),sub
91,2022-06-17,Boeing 777-228ER,f-gspq,Air France,0.0,"New York-John F. Kennedy International Airport, NY (JFK)",min
92,2022-06-17,Airbus A330-202,ei-ejl,ITA Airways,0.0,"New York-John F. Kennedy International Airport, NY (JFK)",min
93,2022-06-21,McDonnell Douglas MD-82,hi1064,RED Air,0.0,"Miami International Airport, FL (MIA)",w/o
94,2022-06-21,Antonov An-2R,ra-17742,Techservice,2.0,"46 km SE of Sebyan-Kyuel, Kobyaysky District",w/o
95,2022-06-22,Learjet 55C,yv3304,private,6.0,7 km SSE of Charallave-Óscar Machado Zuloaga Airport,w/o
96,2022-06-22,Antonov An-30M,30001,NPP Mir,0.0,70 km SE of Olenyok Airport (ONK),sub
97,2022-06-24,Fokker F-27 Friendship 500,5y-cce,Icon Aviation,0.0,Juba Airport (JUB),unk
98,2022-06-24,Ilyushin Il-76MD,rf-78778,Russian Air Force,5.0,5 km ESE of Ryazan-Dyagilevo Air Base,w/o
99,2022-06-25,de Havilland Canada DHC-8-402Q Dash 8,ja854a,"All Nippon Airways - ANA, opb ANA Wings",0.0,40 km WSW of Tokushima Airport,non
100,2022-06-26,Cessna 208 Supervan 900,n265kp,Alaska Seaplanes,0.0,"Elfin Cove Seaplane Base, AK (ELV)",sub
101,2022-07-01,Antonov An-2R,ra-17951,Voskhod LLC,0.0,near Oymyakon Airfield,sub
102,2022-07-01,Antonov An-12BK,ur-11316,Motor Sich,0.0,Uzhgorod Airport (UKLU),sub
